matrix.txt

|                                 |   Balocco |   Le Mans (Bugatti) |   Nürburgring Nordschleife |   Hockenheim Short |   Laguna Seca (Post 1988) |   Top Gear Track |   Sachsenring |   Circuit De Nevers Magny-Cours Club |   Ring Knutstrop (Conf 2) |   Vairano Handling Course |
| Porsche Panamera Turbo          |    171.31 |              nan    |                     476    |              72.6  |                    nan    |           nan    |        nan    |                                84.78 |                     73.6  |                    nan    |
| Mercedes - AMG A45 S (W177)     |    171.34 |              nan    |                     468.8  |             nan    |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                     78.9  |
| Ferrari FF                      |    171.42 |              nan    |                     nan    |             nan    |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                     76.38 |
| Mercedes-Benz SLS AMG           |    171.6  |              113.57 |                     460    |              70.8  |                     98.82 |            81.6  |        nan    |                                83.5  |                     71.4  |                     77.06 |
| Porsche 911 Turbo (997)         |    171.64 |              nan    |                     458    |              71.9  |                     99.89 |           nan    |        nan    |                               nan    |                    nan    |                     79.96 |
| Porsche Cayman GT4 (981)        |    171.78 |              111.29 |                     462    |              70.1  |                     97.21 |           nan    |        nan    |                                80.28 |                     70    |                     75.01 |
| KTM X-Bow                       |    171.95 |              nan    |                     490    |              70.2  |                    nan    |            83.1  |        nan    |                                81.2  |                     69.9  |                    nan    |
| Ford GT (Mk I)                  |    172.2  |              nan    |                     472    |             nan    |                    nan    |            81.9  |        nan    |                               nan    |                    nan    |                     79.81 |
| Porsche 911 Carrera GTS         |    172.23 |              109.47 |                     443.77 |              68    |                     99.5  |           nan    |         91.61 |                                80.42 |                    nan    |                    nan    |
| Lamborghini Urus                |    172.31 |              nan    |                     nan    |             nan    |                    100.9  |            81.7  |        nan    |                                83.26 |                    nan    |                     76.33 |
| BMW M2 Competition (F87)        |    172.33 |              114.97 |                     472.36 |             nan    |                    100.83 |           nan    |        nan    |                                82.82 |                    nan    |                    nan    |
| Mercedes-Benz AMG GT S          |    172.52 |              111.29 |                     453.04 |              69.6  |                     95.3  |            77.5  |         91.89 |                                81.79 |                     70    |                     76.46 |
| Dodge Viper SRT-10              |    172.6  |              nan    |                     479    |              73.7  |                    nan    |           nan    |        nan    |                                84.45 |                    nan    |                     79.51 |
| Ferrari California GT           |    172.65 |              nan    |                     476    |              73.5  |                    nan    |           nan    |        nan    |                                83.65 |                    nan    |                     79.58 |
| Audi RS Q8                      |    172.78 |              nan    |                     nan    |             nan    |                    nan    |            82.5  |        nan    |                               nan    |                    nan    |                    nan    |
| Audi R8 4.2 FSI Quattro (Mk I)  |    172.78 |              nan    |                     nan    |              72.7  |                    100.75 |            84.4  |        nan    |                                84.22 |                     73.5  |                     78.46 |
| Porsche 911 Carrera S (991)     |    172.85 |              111.97 |                     457.9  |              70.4  |                     99.3  |           nan    |        nan    |                                82.98 |                     73.8  |                     77.44 |
| CLK 63 Black Series             |    173.02 |              nan    |                     465    |              73.8  |                    nan    |            86    |        nan    |                               nan    |                    nan    |                    nan    |
| Aston Martin V8 Vantage         |    173.51 |              nan    |                     483    |             nan    |                    112.2  |           nan    |        nan    |                               nan    |                    nan    |                    nan    |
| Porsche 718 Cayman GTS          |    173.72 |              nan    |                     nan    |              71.4  |                    nan    |           nan    |        nan    |                               nan    |                    nan    |                    nan    |
