,Balocco,Le Mans (Bugatti),Nürburgring Nordschleife,Hockenheim Short,Laguna Seca (Post 1988),Top Gear Track,Sachsenring,Circuit De Nevers Magny-Cours Club,Ring Knutstrop (Conf 2),Vairano Handling Course
Porsche 911 Carrera S (997),175.51,,476.0,,110.0,86.2,,,,80.74
Toyota GR Yaris (Mk IV),175.67,,,,,85.0,94.04,85.98,,78.36
Peugeot RCZ R,175.7,,,,,,,86.6,74.7,
Porsche Cayman S Sport (987),175.71,,,,,,,85.8,,
SL 63 AMG  Package,175.72,,,73.2,,,,,,
Lotus Evora,176.03,,,,,85.7,,85.4,,82.3
Alpine A110 (Mk II),176.05,116.84,483.0,73.8,,82.9,,81.31,,
Nissan 370Z,176.18,,,,,87.5,,87.04,,82.82
Corvette Coupe 6.2 C6,176.2,,,,,,,87.16,74.1,
Porsche Boxster S (981),176.23,116.78,478.0,73.8,119.01,,,85.11,72.4,77.89
Audi TT-S Roadster (Mk II),176.55,,,,,,,,,
Audi TT RS Coupe (Mk II),176.59,,489.0,73.1,,,,86.57,81.3,
Audi RS5 (8T3),176.6,,479.0,74.0,,87.5,,86.4,73.8,78.56
BMW Z4 M Roadster,176.67,,,,,86.0,,,76.1,82.58
BMW Z4 M Coupe,176.67,,,,,,,,,83.67
Audi RS4 Avant (B8),176.72,117.35,,,,,,,73.3,
Mercedes-Benz A 45 AMG,176.86,,484.0,73.5,,,,85.0,75.0,79.03
BMW M5 (F10),177.3,118.12,475.0,72.9,,89.2,,84.89,72.5,
Jaguar F-Pace SVR,177.3,,,,,,,,,79.61
Ford Focus RS,177.41,,486.0,,,89.3,,84.58,75.9,79.5
Mercedes-Benz C 63 AMG,177.43,,493.0,,,,,,75.7,81.64
BMW M3 (E90),177.5,,,,,85.3,,,,80.28
Porsche Cayman (987),177.65,,,,,,,,,
Porsche Cayenne GTS (Mk III),177.71,,,,,,,,,
Subaru Impreza WRX STI (2.5),177.72,,,,,88.2,,88.04,77.0,
Honda Civic Type R (FK8),177.79,,,,98.24,85.6,,85.39,,
Porsche Boxster S (986 260 PS),178.1,,,,,,,,,83.86
Ford Focus ST (Mk IV),178.25,,,,,,,87.1,,80.36
Jaguar XFR (Mk I),178.45,,,,105.37,86.7,,,,
Seat Leon Cupra R (Mk III),178.66,,,,,,,,,
Mitsubishi Lancer EVO IX,178.7,,491.16,,107.93,,,87.99,76.1,81.81
Porsche Panamera GTS,178.93,117.8,,73.5,,,,,,
Renault Megane RS (Mk III),179.0,,,,,,,87.87,77.8,82.63
Alfa Romeo Stelvio QV,179.08,117.55,471.7,,103.5,,,,,78.0
Audi RS6 Avant (C6),179.19,,489.0,,,,,,74.7,
Maserati GranTurismo,179.2,,,,,,,,,
BMW M135i xDrive (F20),179.27,,,,,,,86.86,,
BMW M5 Touring (E61),179.35,,,,,,,,76.9,
Wiesmann Roadster MF3 SMG,179.42,,,,,87.9,,,,
Mercedes-Benz CLS 55 AMG,179.49,,,,,86.9,,,,
Megane Sport F1-Team R26,179.6,,,,,90.6,,88.65,,
i30 N  Fastback,179.69,,,,,,,,,
BMW M5 (E60),179.8,,472.0,,,86.2,,,,82.42
Mercedes-Benz SL 500,179.84,,,,,,,,,
Mercedes-Benz SL 55 AMG,180.0,,486.0,,,93.0,,,,84.01
Porsche Macan GTS,180.09,,,,,,,,,
Mercedes-Benz SLK 55 AMG,180.1,116.98,,74.0,,,,,,83.68
BMW X6 M50i (G06),180.42,,,,,,,,,
Audi S3 Sportback (8Y),180.48,,,,,,,,,79.86
Nissan 350Z (313 PS),180.48,,,,,,,90.19,,84.0
Lexus RC F,180.62,,,,103.2,,,85.04,,78.78
Audi S6 Avant TDI (C8),180.62,,,,,,,,,
BMW M3 Cabrio (E93),180.65,,,,,,,,,
BMW M6,180.7,,487.76,,,,,87.05,,82.16
Mini John Cooper Works GP,181.09,116.47,484.0,,,,,,,
Audi S3 (8P),181.19,,,,,,,90.31,77.6,
BMW 135i Coupe (E82),181.24,,,,106.0,,,89.75,77.2,
BMW 330d E92,181.29,,,,,,,,,
Renault Megane RS ,181.3,118.91,492.0,,,,,87.3,,
Renault Megane RS Trophy,181.3,,,,,,,85.6,,78.8
Audi S5 (8T3),181.34,,,,,,,,75.3,
Mitsubishi Lancer Evo X,181.5,,,,,,,,,
Maserati Quattroporte Sport GT,181.56,,,,,,,,,
Jaguar XKR,181.67,,,,,94.7,,,,84.59
Jaguar XKR convertible,181.79,,,,,,,,,
Cupra Ateca,181.95,,,,,,,,,
BMW Z4 sDrive35i,182.02,,,,,88.2,,,76.0,83.91
Mercedes - AMG A35 4Matic,182.04,,,,,,,87.26,,80.65
Opel Speedster Turbo,182.05,,,,,,,,,
VW Golf R32 (Mk V),182.15,,,,,90.4,,,80.0,84.44
Ford Puma ST (Mk II),182.16,,,,,,,,,
Porsche Cayenne Turbo (Mk II),182.2,,,,,,,,,
Nissan 350Z (287 PS),182.25,,,,,91.8,,,,84.4
Cupra Formentor VZ 2.0 TSI,182.26,,,,,,,,,82.18
Subaru Impreza WRX STi,182.3,,,,,90.1,,,75.6,82.39
Audi TT 3.2 quattro (Mk II),182.4,,,,,,,,77.6,83.77
Chrysler Crossfire SRT-6,182.45,,,,,,,,,84.98
BMW M235i Gran Coupe xDrive,182.45,,,,,,,,,
BMW 335i Coupe,182.49,,,,109.04,,,,,
BMW Z4 3.0si Coupe,182.66,,,,,,,,,
BMW 130i,182.8,,,,,91.9,,92.49,,86.95
BMW 640d,182.97,,,,,,,,,
Maserati Quattroporte,183.11,,,,,,,,78.3,
Audi S6 (C6),183.19,,,,,,,,,
Porsche Cayenne GTS,183.41,,,,,,,,,
Mercedes-Benz E 63 AMG T-Model,183.54,,,,,,,,,
Alfa Romeo 147 GTA,183.63,,,,,95.6,,,,87.72
Mazda 3 MPS,183.65,,,,110.37,92.0,,92.44,78.4,
Infiniti G37S Coupe,184.19,,,,,,,,,
Renault Megane RS Sport,184.4,,,,,,,92.47,,85.92
Chrysler 300C SRT-8 Touring,184.44,,,,,,,,,
BMW 335i xDrive Touring,184.61,,,,,,,,,
