,Balocco,Le Mans (Bugatti),Nürburgring Nordschleife,Hockenheim Short,Laguna Seca (Post 1988),Top Gear Track,Sachsenring,Circuit De Nevers Magny-Cours Club,Ring Knutstrop (Conf 2),Vairano Handling Course
Porsche Panamera Turbo (Mk II),,,458.0,71.7,,,,,,
McLaren Mercedes SLR 722,,,458.0,,,,,,,
BMW M5 (F90),,,458.92,70.6,99.81,,94.36,,,75.73
Ford Mustang Shelby GT500,,,459.28,,93.81,,,,,
Lamborghini Murcielago LP640,,,460.0,71.8,,79.8,,,,78.14
McLaren Mercedes SLR,,,460.0,73.5,,80.9,,,,
Renault Megane RS Trophy R,,,460.1,,,,,82.84,,
Chevrolet Camaro ZL1,,,461.27,73.9,99.18,,,,,
Porsche 911 GT3 RS (997),,,462.0,71.1,,,,,,78.54
Alpine A110 S (Mk II 300 PS),,,462.66,,,82.3,,81.75,,
Porsche 911 GT3 RS (996),,,463.0,71.8,,82.3,,,,
Aston Martin Vantage  (Mk II),,,463.92,70.7,98.42,79.7,,,,75.66
Pagani Zonda C12 S,,,464.0,71.8,,83.8,,,,
Mercedes-Benz C 63 AMG S Coupe,,,464.0,71.3,,,,,,
Gardner Douglas GD T70 Spyder,,,465.0,,,,,,,
Audi R8 V10 5.2 FSI Plus,,,465.0,70.6,98.7,,,82.58,71.3,
E 63 AMG S 4Matic+ T,,,465.0,,,,,,,
Mercedes - AMG CLA 45 S,,,465.34,,,,,,,
C 63 AMG Coupe Black Series,,,466.0,70.6,98.9,81.0,,,,
Porsche 911 GT2 (996),,,466.0,72.6,,,,,,78.99
Jaguar XJ220,,,466.37,,,,,,,
Porsche 718 Cayman S,,,467.0,71.3,,81.6,,81.7,,76.33
Wiesmann GT MF5,,,467.0,69.7,,,,,,
Ferrari 599 GTB Fiorano,,,467.0,72.0,,81.2,,,71.6,76.81
VW Golf R 20 Years,,,467.31,,,,,84.65,,
BMW M3 GTS,,,468.0,72.5,,,,,,
Lotus Exige Cup 380 (Mk III),,,468.13,,,,,,,
Porsche Boxster Spyder (981),,,469.0,71.3,,,,,,
Alpina B3 GT3,,,469.0,72.2,,,,,,
VW Golf GTI Clubsport S,,,469.21,72.6,,,,,,
Mercedes-Benz GLC 63 AMG S,,,469.3,73.2,,,,,,
RUF CTR2,,,469.56,,,,,,,
BMW M3 CSL (E46),,,470.0,73.5,,88.0,,,,80.49
Aston Martin Vantage GT8,,,470.0,71.1,,,,,,
Lamborghini Murcielago,,,470.0,72.0,,83.7,,,,79.05
SLS AMG Coupe Electric Drive,,,470.23,,,81.7,94.93,,,
Jaguar XKR-S (550 PS),,,471.0,,102.9,83.3,,,,
VW Golf R (Mk VIII),,,471.0,,,,,87.13,,
SL65 AMG Black Series,,,471.0,72.2,,83.0,,,,
Aston Martin V12 Vantage S,,,472.0,71.9,101.77,,,82.98,,
Porsche 911 Turbo Cabriolet,,,472.0,71.9,,82.2,,,,
Lamborghini Gallardo,,,472.0,71.8,,85.8,,,,79.36
BMW M4,,,472.0,72.6,96.29,,,83.72,73.0,77.45
Alpina B4 Gran Coupe,,,472.11,,,,,,,
Porsche Panamera Turbo S,,,472.2,72.3,,,,84.55,,
Lotus Exige S (V6),,,473.0,71.3,,,,83.22,,78.18
Alpina B3  (G20),,,473.26,,,,,,,
Porsche 911 GT3 (996 facelift),,,474.0,73.2,,87.2,,,,
BMW M5 Competition (F10),,,474.0,72.8,,,,,,
Mercedes-Benz CLK DTM,,,474.0,72.5,,,,,,
Renault Megane RS 275 Trophy R,,,474.36,,,,,,73.8,
Mercedes-Benz E 63 AMG S,,,475.0,73.5,,,,,,
Ferrari F430,,,475.0,72.7,,82.9,,,,77.37
Caterham R500 1.8L K Series,,,475.0,,,,,,,
Porsche 911 Turbo (996),,,476.0,,,91.0,,,,80.8
Panamera Sport Chrono Turbo,,,476.0,,,,,,,
Ferrari 360 CS,,,476.0,73.0,,82.3,,,,81.02
Chevrolet Corvette C5 Z06,,,476.0,,113.73,,,,,
Alpine A110 S (Mk II 292 PS),,,476.1,,,,,85.09,,77.03
Porsche 911 GT3 (996),,,476.33,73.97,,,,,,
Honda NSX-R (facelift),,,476.73,,114.74,91.6,,,,
Audi RS4 (B7),,,478.0,,,85.6,,,74.5,84.03
Seat Leon Cupra 280 (Mk III),,,478.4,,,,,85.1,,
BMW M240i XDrive,,,478.59,,,,,,,
Cupra Formentor VZ5,,,478.99,,,,,,,
Jaguar XKR-S Convertible,,,479.0,,,,,,,
Audi RS5 (8T3 facelift),,,479.0,74.0,102.97,,,,72.1,
Cadillac CTS-V (Mk II),,,479.32,,103.9,,,,,
Alpina B4 S Biturbo Coupé AWD,,,480.0,,,,,,,
Mercedes-Benz C63 AMG Coupe,,,481.0,73.6,,,,87.7,,
Bugatti EB 110 SS (US spec),,,481.0,,,,,,,
Nissan Skyline GT-R (R33),,,481.0,,,,,,,
Lamborghini Gallardo Spyder,,,481.84,72.3,,85.7,,,72.7,77.54
CLS 63 AMG Perfromance Package,,,483.0,73.9,,,,86.3,,
VW Golf GTI Clubsport,,,483.0,,,86.8,,87.2,,
Honda NSX-R,,,483.86,,,,,,,
Lamborghini Diablo GT,,,484.0,,,,,,,81.66
VW Golf R (Mk VII facelift),,,484.0,,,,,,,
Audi RS6,,,485.0,73.7,,,,85.52,72.2,
Ferrari 575 Maranello,,,485.0,,,86.8,,,,81.55
Hyundai i30 N ,,,485.19,,,,,,,
Subaru Impreza WRX STI Spec C,,,486.01,,,,,,,
Caterham Superlight R,,,486.2,,,,,,,
BMW Z8,,,487.0,,,,,,,85.3
Ferrari 550 Maranello,,,487.0,,,,,,,83.7
Renault Megane RS 265 Trophy,,,487.97,,,87.0,,87.3,,
Porsche 911 Turbo 3.3,,,488.71,,,,,,,
Ferrari 360 Modena,,,489.0,,,,,,,81.49
Lamborghini Diablo SV,,,489.0,,,,,,,
Audi R8 e-tron,,,489.1,,,,,,,
Porsche 911 GT2 (993),,,489.3,73.94,,,,,,
Mercedes-Benz E63 AMG,,,490.0,,,84.9,,,,
Alpina B6 S,,,490.0,,,,,,,
RUF CTR Yellow Bird,,,490.0,,,,,,,
Dodge Viper GTS,,,490.0,,,,,,,
Donkervoort D8 180R,,,490.0,,,,,,,
Subaru Impreza WRX Type RA STI,,,490.75,,,,,,,
Porsche 911 Turbo 3.6,,,492.0,,,,,,,
Porsche 911 Turbo 3.6 (993),,,492.0,,,,,,,
Cadillac CTS-V Sport Wagon,,,492.1,,,,,,,
Artega GT,,,493.0,73.0,,,,84.95,,
Lotus 3-Eleven Race,,,,66.19,,,,,,
Porsche 911 Turbo S Exclusive,,,,67.3,,,91.23,,,
Maserati MC 12 corsa,,,,67.6,,,,,,
Corvette  Grand Sport ,,,,68.3,95.62,,91.98,79.0,,
Lamborghini Aventador S,,,,69.0,,,93.22,,,72.7
Porsche 911 R (991),,,,69.1,,,94.32,79.1,,72.57
Mosler MT 900 GTR,,,,69.2,,,,,,
Mercedes-Benz AMG GT C,,,,69.4,,,92.03,,,
Porsche 911 Carrera 4 GTS,,,,69.63,,,,81.61,,
Caterham Seven 620R,,,,69.7,,82.3,,,,
Porsche 911 Carrera 4S,,,,69.7,,,,80.52,,81.3
9ff G-Track,,,,69.8,,,,,,
Corvette 427 Convertible,,,,69.8,,,,,,
KTM X-Bow GT,,,,70.3,,,,,,
Porsche 911 Carrera,,,,70.3,105.0,,94.77,,72.4,83.2
SRT Viper,,,,70.5,94.63,,,,,
Audi R8 Spyder V10 Plus,,,,70.5,,,94.27,,,
Mercedes-Benz AMG GT,,,,70.6,,,,82.8,,
Lotus Exige Sport 380 Roadster,,,,70.8,,,,,,
Audi R8 V10 FSI (Mk II),,,,70.8,,,,,,
Audi R8 V10 RWS (Mk II),,,,70.8,,,,,,
Gallardo LP560-4 Spyder,,,,71.1,,,,,,
Porsche 911 Carrera 4S (991),,,,71.1,99.0,,,,70.0,
Audi R8 LMX,,,,71.5,,,,,,
Porsche 911 GT2 (996 facelift),,,,71.6,,,,,,
911 Carrera S Cabriolet,,,,71.6,,,,,,
Chevrolet Corvette Grand Sport,,,,71.9,,,,,,
BMW M4 Competition,,,,71.9,,,,,,
Lotus 2-Eleven,,,,71.9,,,,83.6,,
BMW M6 Gran Coupe Competition,,,,72.0,,,,,,
Wiesmann Roadster MF5,,,,72.3,,,,,,
Audi TT RS Roadster (Mk III),,,,72.4,,,,,,
Aston Martin Vanquish S,,,,72.4,,87.1,,,,83.43
Porsche 718 Cayman,,,,72.4,,,,,,
Porsche Cayenne Turbo (Mk III),,,,72.5,,,,,,78.31
BMW M3 (F80),,,,72.5,,81.6,93.9,,73.1,
Audi RS7 Sportback ,,,,72.6,,,,,,
Audi R8 V10 5.2 FSI Spyder,,,,72.7,,82.3,,,71.7,
9ff Speed9,,,,72.7,,,,,,
Lotus Exige Cup 260,,,,72.8,,,,,73.2,
Porsche 911 Sport Classic,,,,72.8,,,,,,
Porsche 911 Targa 4S (991),,,,72.9,,,,,,
Aston Martin DB11 V8,,,,72.9,,,,,,77.68
BMW M6 Competition,,,,72.9,,,,,,
Audi TT RS Plus,,,,72.96,,,,,74.3,
Alpina B7 Biturbo (G12),,,,73.0,,,,,,
Lotus Evora S,,,,73.0,102.49,,,,75.1,
Mercedes-Benz SL63 AMG,,,,73.1,,,,,,
Donkervoort D8 180 R,,,,73.1,,,,,,
Corvette Grand Sport Cabriolet,,,,73.1,,,,,,
Ford Mustang Boss 302 LS,,,,73.2,99.5,,,,,
Ford Mustang Boss 302,,,,73.2,101.06,,,86.22,,
Wiesmann GT MF4-S,,,,73.2,,,,,,
BMW M6 (F13),,,,73.2,100.52,,,,,
Caterham R300 Superlight,,,,73.3,,,,81.7,,
Lotus Exige S RGB,,,,73.3,,,,,,
Mercedes-Benz SL 65 AMG,,,,73.3,,,,,,
Cadillac ATS-V Coupe,,,,73.4,99.65,,,,,
Porsche 911 Speedster (997),,,,73.4,,,,,,
Audi RS7 Sportback,,,,73.4,,,,,,
Renault Megane RS Clubsport,,,,73.5,,,,,,
Porsche 718 Boxster,,,,73.5,,,,,,77.68
BMW M6 Coupe Competition,,,,73.6,,,,,,
Aston Martin V8 Vantage N430,,,,73.6,,,,,,
BMW M3 CRT,,,,73.6,,,,,,
CLS 63 AMG S-Model,,,,73.6,,,,,,
F-Type R Convertible AWD,,,,73.7,,,,,,
Porsche Panamera 4S (Mk II),,,,73.7,,,,,,
BMW M4 Convertible,,,,73.8,114.23,,,,,
Panamera 4S Sport Turismo,,,,73.8,,,,,,
Ford Mustang GT (Mk VI 426 PS),,,,73.8,,,,,,
C 63 AMG Edition 507,,,,73.8,103.45,,,,,
Jaguar F-Type V8 S,,,,73.9,100.81,,,,74.0,
Brabus SL 850,,,,73.9,,,,,,
Audi S8 Plus (D4),,,,73.9,,,,,,
Chevrolet Camaro SS (Mk VI),,,,74.0,,,,84.5,,
VW Golf GTI Clubsport (Mk VII),,,,74.0,,,,86.48,,
Acura ARX-01b,,,,,70.1,,,,,
Porsche RS Spyder (Evo),,,,,70.35,,,,,
Acura ARX-01a,,,,,70.91,,,,,
Audi R10 TDI,,,,,71.17,,,,,
Porsche RS Spyder,,,,,74.03,,,,,
Czinger 21C,,,,,85.45,,,,,
Pagani Huayra BC,,,,,88.5,,,,,
McLaren 765LT,,,,,89.23,,,,,
McLaren P1,,,,,90.12,,,,,
SRT Viper TA,,,,,93.62,,,,,
SRT Viper GTS ,,,,,94.23,,,,,
McLaren 570GT,,,,,94.87,,,,,
Devon GTX,,,,,95.07,,,,,
McLaren 620R,,,,,95.19,,,77.6,,
Ford Shelby Mustang GT350R,,,,,96.11,,,81.64,,75.0
Ford Shelby Mustang GT350,,,,,96.83,,,,,
Camaro SS 1LE Package,,,,,97.78,,,,,
Aston Martin DBS Superleggera ,,,,,98.27,,,,,
Ford Mustang GT PP2,,,,,98.42,,,,,
Cadillac CTS-V (Mk III),,,,,98.52,,,,,
BMW M850i (G15),,,,,99.4,,,,,
Tesla Model 3 ,,,,,99.83,81.5,,,,
Porsche Cayenne Coupé Turbo,,,,,100.27,,,,,
Porsche Cayman (987 facelift),,,,,100.44,,,,,
Bentley Continental GT V8,,,,,101.21,,,,76.9,
E 63 AMG S T-Modell,,,,,102.39,,,,,
Challenger SRT Hellcat Redeye,,,,,102.7,,,,,
Lexus LC 500,,,,,103.4,85.6,,,,
C 63 AMG Coupe Edition 507,,,,,103.45,,,,,
Bentley Continental GT-3 R,,,,,103.51,,,,,
BMW i8,,,,,104.29,,,,74.1,80.86
Shelby GT500,,,,,104.3,90.0,,87.01,,
Shelby Cobra 427 S/C,,,,,104.46,,,,,
Shelby Mustang Cobra GT500KR,,,,,104.72,,,,,
Lotus Exige S,,,,,105.82,85.1,,,75.5,
Toyota Supra RZ (Mk IV),,,,,105.87,,,,,
VW Golf R (Mk VII US-Version),,,,,106.01,,,,,
Kia Stinger GT,,,,,106.16,,,,,81.45
Nissan Nismo 370Z,,,,,106.5,,,,,
Bentley Continental GT Speed,,,,,106.6,,,,,
Mitsubishi Lancer Evo X GSR,,,,,106.95,,,87.81,,
Mitsubishi Lancer Evo X MR,,,,,107.71,,,88.88,,
Chevrolet Cobalt SS/TC,,,,,107.75,,,,,
Mazda MX-5 2.0 (Mk IV 184 PS),,,,,108.47,,,,,
Tesla Model S P85,,,,,108.92,,,,,
VW Golf GTI (Mk VII 220 PS),,,,,110.11,89.6,,,,85.51
Porsche Boxster (986 220 PS),,,,,110.21,,,,,
Mazda RX-8,,,,,110.42,91.8,,,,84.54
Mazda MX-5 2.0 (Mk IV),,,,,110.68,,,,,
Honda S2000 (AP1),,,,,110.74,97.4,,89.15,,85.64
BMW Z3 3.0i,,,,,110.8,,,,,
Subaru BRZ,,,,,111.3,,,91.6,,84.71
Porsche 911 Carrera (997),,,,,111.8,,,,,
Cadillac CTS-V (MK I),,,,,113.0,93.4,,,,
Honda Civic SI,,,,,114.99,,,,,
Honda NSX (facelift),,,,,117.0,,,,,
Chevrolet Camaro Z28,,,,,125.8,,,,,
Kia Soul Sport 2.0,,,,,132.67,,,,,
Caparo T1,,,,,,70.6,,,,
Ferrari SF90 Stradale,,,,,,71.3,,,,68.4
Ultima GTR 720,,,,,,72.8,,,,
Dallara  Stradale Spider,,,,,,72.8,,76.32,,71.05
Pagani Huayra,,,,,,73.8,,,,
Ferrari LaFerrari,,,,,,74.2,,,,
BAC Mono,,,,,,74.3,,,,
Ariel Atom 500 V8,,,,,,75.1,,,,
Ariel Atom 4 (324 PS),,,,,,76.0,,,,
Veyron 16.4 Super Sport,,,,,,76.8,,,,
Ascari A10,,,,,,77.3,,,,
Caterham 7 CSR 260,,,,,,77.4,,,,
Noble M600,,,,,,77.7,,,,
Zonda C12-F Clubsport Roadster,,,,,,77.8,,,,
Caterham R500,,,,,,77.9,,,69.6,
Bugatti EB 16.4 Veyron,,,,,,78.3,,,,
Radical SR3,,,,,,79.0,,,,
Ariel Atom,,,,,,79.5,,,,
Mercedes-Benz SLS AMG Roadster,,,,,,79.6,,,70.5,76.57
Ferrari 599 GTO,,,,,,79.8,,,,76.09
Ascari KZ1,,,,,,80.7,,,,
Aston Martin One-77,,,,,,81.67,,,,
Audi RS6 Avant (C8),,,,,,81.9,,,,77.31
Noble M15,,,,,,82.5,,,,
Westfield XTR2,,,,,,82.6,,,,
Ferrari F430 Spyder,,,,,,83.2,,,,78.46
Porsche 718 Cayman GTS 4.0,,,,,,83.5,,,,
Koenigsegg CC8S,,,,,,83.9,,,,
Ariel Atom 2,,,,,,84.0,,,,
Mercedes-Benz S63 AMG Coupe,,,,,,84.0,,,,
Veritas RS 3,,,,,,84.2,,,,
Aston Martin Virage,,,,,,84.4,,,,
TVR Sagaris,,,,,,84.6,,,,
TVR Tuscan (Mk II),,,,,,84.8,,,,
Lancer Evo VIII FQ-400,,,,,,84.8,,,,
Continental Supersports,,,,,,84.9,,,,81.1
Noble M12 GTO-3R,,,,,,85.0,,,,
Zenos E10 S,,,,,,85.1,,,,
BMW M135i (F20),,,,,,85.1,,87.28,77.3,
Morgan Aero 8 GTN,,,,,,85.9,,,,
Lancer Evo VIII FQ-320 MR,,,,,,86.0,,,,
Brabus SV12 S Biturbo Roadster,,,,,,86.2,,,,
Vauxhall VXR8 Bathurst S,,,,,,86.3,,,,
Lotus Exige,,,,,,86.4,,,,
BMW M3 Competition Package,,,,,,86.5,,84.9,,
Lexus IS F,,,,,,86.9,,88.1,76.2,82.11
BMW M5 (E39),,,,,,87.0,,,,
TVR T350C,,,,,,87.0,,,,
Aston Martin DB9,,,,,,87.1,,,,82.18
HSV Maloo R8,,,,,,87.1,,,,
Spyker C8 Spyder,,,,,,87.3,,,,
Tesla Roadster,,,,,,87.3,,,92.6,
Leon 2.0 TSI Sportstourer,,,,,,87.4,,,,
Eagle Low Drag GT,,,,,,87.5,,,,
Subaru Cosworth Impreza CS400,,,,,,87.7,,,,
Ford Roush Mustang 415,,,,,,88.0,,,,
Renault Megane R26.R,,,,,,88.1,,87.34,,
Marcos TSO GT2,,,,,,88.2,,,,
BMW X5 M,,,,,,88.2,,,,
Lancer Evo X FQ300 SST,,,,,,88.22,,,,
Opel Astra OPC 2012,,,,,,88.3,,87.7,77.0,
Bizzarrini 5300 GT Corsa Revi..,,,,,,88.3,,,,
Dodge Viper SRT-10 Roadster,,,,,,88.5,,,73.6,79.5
VW Golf GTI (Mk VII 230 PS),,,,,,88.6,,89.4,76.0,
MG X-Power SV,,,,,,88.6,,,,
Porsche Boxster S (987 280 PS),,,,,,88.7,,,,
Lancer Evo VIII FQ-300,,,,,,88.9,,,,
Alpina Roadster V8,,,,,,89.0,,,,83.94
Mercedes-Benz CL 65 AMG,,,,,,89.0,,,,
Subaru Impreza WRX STI WR1,,,,,,89.4,,,,
Zenvo ST1,,,,,,89.9,,,,
Aston Martin DB7 GT,,,,,,90.4,,,,
Ford Focus RS500,,,,,,90.8,,,,82.21
Audi S4 (B6),,,,,,90.9,,,,
Corsa OPC Nurburgring Edition,,,,,,91.0,,,,
BMW 760i Li (F02),,,,,,91.2,,,,
Vauxhall VX220 Turbo,,,,,,91.3,,,,
Vauxhall VXR8,,,,,,91.3,,,,
Audi TT 2.0 TFSI (Mk II),,,,,,91.4,,,,
BMW M3 (E46),,,,,,91.8,,,,82.6
BMW 535D (E60),,,,,,91.8,,,,
Mercedes-Benz S63 AMG (W221),,,,,,92.1,,,,
Skoda Octavia RS Combi (Mk IV),,,,,,92.3,,,,
Lotus Esprit V8,,,,,,92.5,,,,85.92
Renault Megane Sport Trophy,,,,,,92.5,,,,
Audi TT 3.2 quattro (Mk I),,,,,,92.7,,,,86.97
Seat Leon 1.8T (Cupra),,,,,,92.9,,,,
Mercedes-Benz SLK 350 (R171),,,,,,92.9,,,,
MG ZT 260,,,,,,93.0,,,,
Audi RS6 (C5),,,,,,93.0,,,,
Noble M12 GTO,,,,,,93.1,,,,
Toyota Supra Twin Turbo,,,,,,93.3,,,,
VW Golf R32 (Mk IV),,,,,,93.3,,,,86.2
Audi Q7 V12 TDI (Mk I),,,,,,93.3,,,,
Seat Leon Cupra,,,,,,93.5,,90.76,78.8,
Renault Clio 182,,,,,,93.8,,,,
Vauxhall Monaro,,,,,,93.9,,,,
Ford Mondeo ST220,,,,,,94.5,,,,
Hyundai I30N ,,,,,,94.6,,,,
Volvo S60 R,,,,,,95.0,,,,
Opel Vectra VXR,,,,,,95.3,,,,
Abarth 500 EsseEsse,,,,,,95.5,,95.55,89.0,87.44
Mercedes-Benz E 55 AMG,,,,,,95.5,,,,
Lotus Elise S2,,,,,,95.6,,,,
Citroen C4 Coupe 2.0 16V VTS,,,,,,95.8,,,,
BMW 325i Cabrio (E93),,,,,,95.9,,,,
Renault Clio V6 (Mk II),,,,,,96.2,,,,
Aston Martin V12 Vanquish,,,,,,96.2,,,,
Alfa Romeo Brera 2.2 JTS,,,,,,96.5,,,,
Honda Civic Type-R (EP3),,,,,,96.5,,,,
Porsche Boxster (986 228 PS),,,,,,97.0,,,,
BMW Z4 3.0i,,,,,,97.3,,,,84.67
Honda e Advance (154 PS),,,,,,97.5,,,,
Saab 9-5 Aero,,,,,,97.9,,,,
Maserati Coupe Cambiocorsa,,,,,,98.0,,,,83.63
Alfa Romeo 8C Competizione,,,,,,98.2,,,,79.99
Bowler Wildcat,,,,,,99.4,,,,
Fiat 500e,,,,,,99.6,,,,
Bentley Arnage T,,,,,,100.0,,,,
Morgan 3 Wheeler,,,,,,100.4,,,,
Rover 416 GTi 16V,,,,,,102.0,,,,
Suzuki Liana,,,,,,102.0,,,,
Renault Avantime V6,,,,,,102.5,,,,
Porsche 944,,,,,,103.0,,,,
Kia Ceed 1.6 (Mk I),,,,,,104.1,,,,
Porsche 928,,,,,,105.0,,,,
Caterham Seven 160,,,,,,105.5,,,,
Chevrolet Lacetti 1.8,,,,,,105.8,,,,
Aston Martin DB5,,,,,,106.0,,,,
Audi 80 1.8E,,,,,,106.0,,,,
Skoda Fabia RS (Mk I),,,,,,106.9,,,,
Volvo 760 GLE,,,,,,108.0,,,,
Mini Cooper,,,,,,108.3,,,,
Smart Fortwo Brabus (Mk III),,,,,,109.1,,,,
McLaren 600LT Spider,,,,,,,89.63,,,
Porsche 911 Turbo  (992),,,,,,,91.03,,,
BMW M235i,,,,,,,91.52,,75.6,80.79
911 GT3 Touring Package,,,,,,,91.56,,,
BMW M3 Competition xDrive,,,,,,,92.13,,,
Ferrari 458 Speciale,,,,,,,92.76,,,72.45
Audi R8 V10 ,,,,,,,92.77,,,
Mercedes-Benz AMG GT (530 PS),,,,,,,92.79,,,
Audi R8 V10 Spyder ,,,,,,,92.79,,,
AMG GT C Roadster,,,,,,,92.94,,,
McLaren MP4-12C (625 PS),,,,,,,93.61,79.51,68.0,
Roding Roadster,,,,,,,93.63,,,
Roding Roadster R1,,,,,,,93.63,,,
Porsche 911 Carrera 4S (992),,,,,,,93.69,,,
BMW M4 CS,,,,,,,94.01,82.9,,
McLaren 540C,,,,,,,94.08,,,
Wiesmann GT MF5 (Mk II),,,,,,,94.14,,,
Vantage F1 Edition,,,,,,,94.16,,,
BMW M8 Gran Coupe Competition,,,,,,,94.27,82.2,,
BMW M4 Coupé,,,,,,,94.46,,,
9ff BT-2,,,,,,,94.86,,,
Lamborghini Urus Performante,,,,,,,94.86,,,
Mercedes-Benz AMG GT (476 PS),,,,,,,94.87,,,
Audi RS 3 Sportback (8Y),,,,,,,94.93,81.83,,78.03
BMW M3 CS,,,,,,,95.1,,,
McLaren 765LT Spider,,,,,,,,76.51,,
Porsche 911 GT3 Touring (992),,,,,,,,78.73,,
Mercedes-Benz SL 63 AMG (2022),,,,,,,,81.23,,
Porsche 718 Boxster GTS,,,,,,,,81.58,,
Lotus Exige Cup 430 (Mk III),,,,,,,,81.68,,
Jaguar F-Type R (facelift),,,,,,,,82.02,,
Alfa Romeo Giulia GTAm,,,,,,,,82.13,,
Caterham Seven 340R,,,,,,,,82.46,,
Panamera Turbo S E-Hybrid,,,,,,,,82.78,,
911 Carrera S Powerkit X51,,,,,,,,82.89,,
BMW M3 Competition (F80),,,,,,,,83.1,,
Lotus Elise 135R,,,,,,,,83.7,,
Cadillac ATS-V,,,,,,,,83.77,,
Porsche 911 Carrera Cabriolet,,,,,,,,84.18,,79.26
Venturi 400 GT,,,,,,,,84.44,,
Ford Mustang Bullitt,,,,,,,,84.63,,
Audi RS5 Sportback (9TA),,,,,,,,84.85,,
Cupra Leon 2.0 TSI (300 PS),,,,,,,,85.07,,
Honda Civic Type R (FK2),,,,,,,,85.7,,
Mercedes-Benz E 63 AMG,,,,,,,,85.9,,
Ginetta G40 R,,,,,,,,85.96,,
Lotus Elise S,,,,,,,,86.11,,81.51
Jaguar XKR (510 PS),,,,,,,,86.38,,81.7
Porsche Cayman (981),,,,,,,,86.4,,80.52
Audi RS3 Sportback (8V),,,,,,,,86.4,,
Audi TT-S Coupe (Mk II),,,,,,,,86.63,75.7,
Peugeot 308 GTi 270 (T9),,,,,,,,87.1,,
Subaru WRX STI sedan,,,,,,,,87.4,,
Elise Sport 240 Final Edition,,,,,,,,87.49,,
Hyundai i20 N (BC3),,,,,,,,87.91,,
Ford Mustang GT 5.0 (426 PS),,,,,,,,88.03,,
VW Golf GTI (Mk VIII),,,,,,,,88.11,,83.68
VW Scirocco R (Mk III),,,,,,,,88.4,76.6,
Seat Leon Cupra R,,,,,,,,88.49,78.0,
BMW M135i xDrive (F40),,,,,,,,88.58,,
Renault Clio RS 220 Trophy,,,,,,,,89.0,,
Ford Fiesta ST (Mk VII),,,,,,,,89.07,,
Toyota GR 86 (Mk II),,,,,,,,89.23,,
Grand Cherokee SRT Trackhawk,,,,,,,,89.48,,79.78
Hyundai Genesis Coupe 3.8,,,,,,,,89.9,,
Skoda Octavia RS (5E),,,,,,,,90.3,,
Clio III RS WRS Edition,,,,,,,,90.93,,
BMW 128ti (F40),,,,,,,,91.41,,
Renault Twingo RS Cup (Mk II),,,,,,,,91.53,,
VW Polo GTI (Mk VI facelift),,,,,,,,92.08,,
Grande Punto Abarth EsseEsse,,,,,,,,92.25,,
Renault Clio 172 (Mk I),,,,,,,,92.74,,
Renault Clio III Sport,,,,,,,,93.36,,
Peugeot 207 RC,,,,,,,,93.38,81.3,
Opel Astra GTC 2.0T,,,,,,,,93.59,,
Subaru Impreza WRX,,,,,,,,94.4,,
Volvo C30 T5,,,,,,,,94.43,,
Renault Laguna Coupe GT 3.5 V6,,,,,,,,94.53,,
Abarth 500,,,,,,,,95.03,,
Renault Clio Williams,,,,,,,,95.38,,
Renault Megane Sport 2.0 dCi,,,,,,,,96.01,,
Ford SportKa,,,,,,,,99.62,,
Renault Twingo GT (Mk II),,,,,,,,100.8,,
Fiat Panda 1.4 (Mk II),,,,,,,,102.05,,
Koenigsegg Agera,,,,,,,,,63.05,
Audi R8 GT Spyder (Mk I),,,,,,,,,70.6,
Noble M400,,,,,,,,,71.8,
Mosler MT 900S,,,,,,,,,72.2,
BMW  M6 Cabrio (F12),,,,,,,,,72.6,79.21
Jaguar F-Type S Coupe,,,,,,,,,73.5,79.05
Porsche Macan Turbo (400 PS),,,,,,,,,74.1,
Mustang Shelby GT500 Conv.,,,,,,,,,74.9,
Morgan Aero 8 (372 PS),,,,,,,,,75.2,
VW Golf R (Mk VII),,,,,,,,,75.3,
Audi S3 Limousine,,,,,,,,,75.4,
Audi S1,,,,,,,,,75.8,
BMW Z4 sDrive 35is,,,,,,,,,75.8,
Mini Cooper JCW GP (facelift),,,,,,,,,76.5,
Mitsubishi Lancer Evo X TC-SST,,,,,,,,,76.8,
Range Rover Sport SVR,,,,,,,,,77.0,
VW Polo R WRC,,,,,,,,,77.9,
Audi RS Q3,,,,,,,,,78.1,
Cadillac ATS,,,,,,,,,78.4,
Mini Cooper S,,,,,,,,,78.5,
VW Passat R36 Variant,,,,,,,,,79.5,
Dodge Caliber SRT4,,,,,,,,,79.6,
Morgan Roadster V6 lightweight,,,,,,,,,79.9,
Jaguar XF SV8 (Mk I),,,,,,,,,79.9,
9-3 2.8T Turbo X Sport Combi,,,,,,,,,80.1,
Abarth 695 biposto,,,,,,,,,80.2,82.56
Renault Clio 197,,,,,,,,,80.2,
Mazda MX-5 2.0 Roadster Coupe,,,,,,,,,80.2,
Seat Ibiza Cupra (Mk III),,,,,,,,,80.6,
Seat Leon 2.0 TFSI,,,,,,,,,80.7,
Nissan Juke Nismo 2WD,,,,,,,,,81.7,
Mitsubishi Lancer Ralliart,,,,,,,,,82.3,
Opel Adam S,,,,,,,,,82.5,
Skoda Octavia RS (1Z),,,,,,,,,82.6,87.78
Honda CR-Z,,,,,,,,,87.7,
Mitsubishi Colt Ralliart,,,,,,,,,90.1,
